2023-12-09 13:17:45.990 [main] org.example.back.Login:27 INFO  org.example.back.Login - Logging, please provide username and password: 
2023-12-09 13:17:45.991 [main] org.example.back.Login:30 INFO  org.example.back.Login - Enter username
2023-12-09 13:17:45.991 [main] org.example.back.Login:34 INFO  org.example.back.Login - Enter password
2023-12-09 13:17:46.053 [main] org.example.back.JsonProcessing:132 WARN  org.example.back.JsonProcessing - Username is not found: Bohdan
2023-12-09 13:17:46.054 [main] org.example.back.JsonProcessing:133 WARN  org.example.back.JsonProcessing - Method returned null value when ended
2023-12-09 13:17:46.054 [main] org.example.back.Login:47 INFO  org.example.back.Login - User Bohdan not logged in, proceeding to registration
2023-12-09 13:17:46.056 [main] org.example.login.LoanUser:23 INFO  org.example.login.LoanUser - Creating LoanUser instance with user input.
2023-12-09 13:17:46.056 [main] org.example.login.LoanUser:35 INFO  org.example.login.LoanUser - Reading user input for LoanUser.
2023-12-09 13:17:46.057 [main] org.example.login.LoanUser:38 INFO  org.example.login.LoanUser - Prompting user for name.
2023-12-09 13:19:38.193 [main] org.example.back.Login:27 INFO  org.example.back.Login - Logging, please provide username and password: 
2023-12-09 13:19:38.194 [main] org.example.back.Login:30 INFO  org.example.back.Login - Enter username
2023-12-09 13:19:38.196 [main] org.example.back.Login:34 INFO  org.example.back.Login - Enter password
2023-12-09 13:20:09.159 [main] org.example.back.Login:27 INFO  org.example.back.Login - Logging, please provide username and password: 
2023-12-09 13:20:09.159 [main] org.example.back.Login:30 INFO  org.example.back.Login - Enter username
2023-12-09 13:20:09.160 [main] org.example.back.Login:34 INFO  org.example.back.Login - Enter password
2023-12-09 13:20:09.219 [main] org.example.back.JsonProcessing:132 WARN  org.example.back.JsonProcessing - Username is not found: Bohdan
2023-12-09 13:20:09.219 [main] org.example.back.JsonProcessing:133 WARN  org.example.back.JsonProcessing - Method returned null value when ended
2023-12-09 13:20:09.220 [main] org.example.back.Login:47 INFO  org.example.back.Login - User Bohdan not logged in, proceeding to registration
2023-12-09 13:20:09.222 [main] org.example.login.LoanUser:23 INFO  org.example.login.LoanUser - Creating LoanUser instance with user input.
2023-12-09 13:20:09.222 [main] org.example.login.LoanUser:35 INFO  org.example.login.LoanUser - Reading user input for LoanUser.
2023-12-09 13:20:09.223 [main] org.example.login.LoanUser:38 INFO  org.example.login.LoanUser - Prompting user for name.
2023-12-09 13:20:43.362 [main] org.example.back.Login:27 INFO  org.example.back.Login - Logging, please provide username and password: 
